28-12 13:11:19,49.246,2.010,47.236,0.0,0.0,1.508,1100881920.0,27037696.0,830595072.0,140414976.0,2343.0,2340.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:20,49.733,3.743,45.989,0.0,0.0,0.535,1097756672.0,27041792.0,830590976.0,143540224.0,3325.0,85185.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:21,48.947,1.053,49.474,0.0,0.0,0.526,1091604480.0,27041792.0,830595072.0,149688320.0,2592.0,2121.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:22,48.187,0.518,50.259,0.0,0.0,1.036,1087270912.0,27041792.0,830595072.0,154021888.0,3448.0,2751.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:23,50.251,0.503,48.744,0.0,0.0,0.503,1083047936.0,27041792.0,830595072.0,158244864.0,2777.0,2513.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:24,48.438,2.083,46.875,0.0,0.0,2.604,1078378496.0,27041792.0,830595072.0,162914304.0,3242.0,97390.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:25,50.254,0.508,49.239,0.0,0.0,0.0,1074790400.0,27041792.0,830595072.0,166502400.0,1650.0,1204.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:26,48.731,1.015,49.239,0.0,0.0,1.015,1070526464.0,27045888.0,830599168.0,170758144.0,2495.0,2174.0,2.0,0.0,0.0,0.0,0.0
28-12 13:11:27,50.256,0.0,49.231,0.0,0.0,0.513,1069002752.0,27045888.0,830599168.0,172281856.0,2461.0,2232.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:28,49.495,1.010,48.485,0.0,0.0,1.010,1067352064.0,27045888.0,830599168.0,173932544.0,1470.0,1774.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:29,48.438,0.521,50.521,0.0,0.0,0.521,1066438656.0,27045888.0,830599168.0,174845952.0,881.0,594.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:30,48.485,1.515,49.495,0.0,0.0,0.505,1065422848.0,27045888.0,830599168.0,175861760.0,1157.0,1317.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:31,49.746,1.523,48.731,0.0,0.0,0.0,1064914944.0,27054080.0,830599168.0,176361472.0,504.0,1073.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:32,50.761,0.0,49.239,0.0,0.0,0.0,1064407040.0,27054080.0,830599168.0,176869376.0,1500.0,2661.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:33,50.254,1.015,48.731,0.0,0.0,0.0,1064329216.0,27054080.0,830599168.0,176947200.0,936.0,1425.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:34,49.0,1.500,49.0,0.0,0.0,0.500,1064329216.0,27054080.0,830599168.0,176947200.0,1374.0,2808.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:35,51.020,2.041,46.429,0.0,0.0,0.510,1064329216.0,27054080.0,830599168.0,176947200.0,2766.0,105381.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:36,48.241,3.015,48.744,0.0,0.0,0.0,1064357888.0,27058176.0,830599168.0,176914432.0,1392.0,48749.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:37,50.254,1.523,48.223,0.0,0.0,0.0,1066455040.0,27058176.0,830599168.0,174817280.0,624.0,880.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:38,50.0,1.515,48.485,0.0,0.0,0.0,1069568000.0,27058176.0,830599168.0,171704320.0,1530.0,26364.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:39,49.749,1.005,49.246,0.0,0.0,0.0,1075920896.0,27058176.0,830599168.0,165351424.0,876.0,1327.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:40,54.822,1.523,43.147,0.0,0.0,0.508,1078079488.0,27058176.0,830599168.0,163192832.0,1254.0,31389.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:41,52.020,0.505,47.475,0.0,0.0,0.0,1082073088.0,27066368.0,830599168.0,159191040.0,564.0,891.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:42,51.777,2.030,46.193,0.0,0.0,0.0,1084170240.0,27066368.0,830599168.0,157093888.0,1350.0,81895.0,2.0,0.0,0.0,0.0,0.0
28-12 13:11:43,50.526,1.053,47.895,0.0,0.0,0.526,1086267392.0,27066368.0,830599168.0,154996736.0,1062.0,2089.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:44,50.761,1.015,47.716,0.0,0.0,0.508,1089380352.0,27066368.0,830599168.0,151883776.0,1692.0,75812.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:45,48.990,2.525,47.475,0.0,0.0,1.010,1092427776.0,27066368.0,830599168.0,148836352.0,1638.0,23166.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:46,50.0,1.010,48.990,0.0,0.0,0.0,1096622080.0,27066368.0,830599168.0,144642048.0,1314.0,1776.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:47,49.746,1.015,49.239,0.0,0.0,0.0,1098772480.0,27074560.0,830599168.0,142483456.0,120.0,407.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:48,51.759,0.503,47.739,0.0,0.0,0.0,1099407360.0,27074560.0,830599168.0,141848576.0,876.0,10340.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:49,50.0,1.010,48.990,0.0,0.0,0.0,1105125376.0,27074560.0,830599168.0,136130560.0,1386.0,4517.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:50,50.0,0.500,49.500,0.0,0.0,0.0,1107283968.0,27074560.0,830599168.0,133971968.0,646.0,754.0,1.0,0.0,1.0,0.0,0.0
28-12 13:11:51,49.495,0.505,50.0,0.0,0.0,0.0,1109381120.0,27074560.0,830599168.0,131874816.0,624.0,907.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:52,49.500,1.0,49.0,0.0,0.0,0.500,1113501696.0,27082752.0,830599168.0,127746048.0,1200.0,31467.0,2.0,0.0,0.0,0.0,0.0
28-12 13:11:53,49.749,0.503,49.246,0.0,0.0,0.503,1119854592.0,27082752.0,830599168.0,121393152.0,1098.0,146621.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:54,50.254,0.508,49.239,0.0,0.0,0.0,1123983360.0,27082752.0,830599168.0,117264384.0,564.0,817.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:55,49.495,0.505,50.0,0.0,0.0,0.0,1126080512.0,27082752.0,830599168.0,115167232.0,936.0,1545.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:56,50.754,1.005,48.241,0.0,0.0,0.0,1130401792.0,27082752.0,830599168.0,110845952.0,1398.0,35439.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:57,49.246,1.508,48.744,0.0,0.0,0.503,1134649344.0,27090944.0,830599168.0,106590208.0,1272.0,22499.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:58,50.254,0.0,49.746,0.0,0.0,0.0,1140875264.0,27090944.0,830599168.0,100364288.0,936.0,1308.0,1.0,0.0,0.0,0.0,0.0
28-12 13:11:59,50.754,0.0,49.246,0.0,0.0,0.0,1142906880.0,27090944.0,830599168.0,98332672.0,816.0,1474.0,1.0,0.0,0.0,0.0,0.0
28-12 13:12:00,50.0,2.525,47.475,0.0,0.0,0.0,1143193600.0,27090944.0,830599168.0,98045952.0,1158.0,144873.0,1.0,0.0,0.0,0.0,0.0
28-12 13:12:01,49.500,0.500,49.500,0.0,0.0,0.500,1143128064.0,27090944.0,830599168.0,98111488.0,624.0,1010.0,1.0,0.0,0.0,0.0,0.0
28-12 13:12:02,50.251,0.503,49.246,0.0,0.0,0.0,1143119872.0,27099136.0,830599168.0,98111488.0,1056.0,2314.0,1.0,0.0,0.0,0.0,0.0
28-12 13:12:03,49.746,0.508,49.746,0.0,0.0,0.0,1143119872.0,27099136.0,830599168.0,98111488.0,756.0,987.0,1.0,0.0,0.0,0.0,0.0
