Id;Response Time
1;6239
2;8814
3;11864
4;13462
5;15085
6;16084
7;29371
8;32362
9;37463
10;40672
11;42398
12;43936
13;45718
14;49485
15;49917
16;51678
17;52716
18;57473
19;59152
20;61885
21;65150
22;68507
23;71864
24;72383
25;77806
26;81797
27;83264
28;85438
29;88362
30;92617
31;94754
32;109175
33;110948
34;111638
35;112655
36;115311
37;116163
38;119523
39;131336
40;134771
41;144742
42;151411
43;153272
44;163535
45;164556
46;176280
47;178959
48;180065
49;193491
50;194506
